               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.033052,            0.023092,           0.0053715,             0.84925,             0.83533,             0.86559,             0.54234,            0.033787,            0.017204,           0.0071227,            0.008845,            0.008845,            0.008845
                  37,            0.033743,            0.023539,           0.0055835,             0.85418,             0.85026,             0.87112,             0.55017,            0.032243,            0.017213,           0.0072655,            0.008812,            0.008812,            0.008812
                  38,            0.031612,            0.022301,           0.0053983,             0.85816,             0.85123,             0.87886,             0.58335,            0.030962,            0.017256,           0.0069608,            0.008779,            0.008779,            0.008779
                  39,            0.032749,            0.023457,           0.0057822,              0.8658,             0.82502,             0.86052,             0.53934,            0.033473,            0.017683,           0.0070916,            0.008746,            0.008746,            0.008746
                  40,            0.033446,            0.023866,           0.0055876,             0.86438,             0.84819,             0.88248,             0.56111,            0.031358,            0.017253,            0.007098,            0.008713,            0.008713,            0.008713
                  41,            0.031433,            0.022584,           0.0055847,             0.89021,             0.82288,             0.87632,              0.5607,            0.030955,            0.017079,           0.0069661,             0.00868,             0.00868,             0.00868
                  42,            0.030459,            0.022736,           0.0054472,             0.87245,             0.80881,             0.87217,              0.5813,            0.030358,            0.016881,            0.007161,            0.008647,            0.008647,            0.008647
                  43,             0.03191,            0.021979,           0.0052622,             0.86208,             0.82858,             0.87057,             0.57044,            0.032186,            0.016693,           0.0073299,            0.008614,            0.008614,            0.008614
                  44,            0.032051,            0.021392,           0.0055551,             0.85057,             0.84586,             0.88436,              0.5709,            0.031051,            0.016201,           0.0069634,            0.008581,            0.008581,            0.008581
                  45,            0.031029,            0.021899,           0.0053991,             0.83701,             0.84597,             0.87336,              0.5658,            0.031945,            0.016617,           0.0069134,            0.008548,            0.008548,            0.008548
                  46,            0.030808,             0.02136,           0.0050699,              0.8792,             0.85201,             0.88548,             0.56725,            0.031484,            0.016936,           0.0068753,            0.008515,            0.008515,            0.008515
                  47,            0.032647,            0.022935,           0.0057727,              0.8828,             0.84189,             0.87043,             0.56466,             0.03123,            0.016627,            0.007128,            0.008482,            0.008482,            0.008482
                  48,            0.032407,            0.022399,           0.0057061,             0.86923,             0.84764,             0.87304,             0.55125,            0.033062,            0.016478,           0.0067398,            0.008449,            0.008449,            0.008449
                  49,            0.032791,            0.021484,           0.0054489,             0.86053,             0.83182,             0.87375,             0.57287,            0.032124,            0.016687,           0.0068349,            0.008416,            0.008416,            0.008416
                  50,            0.030544,            0.021931,           0.0054749,             0.87262,             0.82497,             0.86959,             0.57879,            0.030337,            0.016405,           0.0068857,            0.008383,            0.008383,            0.008383
                  51,            0.031091,            0.024123,           0.0052627,             0.89288,             0.82563,              0.8663,             0.57665,             0.03088,            0.016638,           0.0067048,             0.00835,             0.00835,             0.00835
                  52,            0.031787,            0.022052,           0.0054621,             0.88708,             0.82385,             0.87337,              0.5588,            0.031432,            0.016864,           0.0067295,            0.008317,            0.008317,            0.008317
                  53,            0.031429,            0.021265,            0.005366,             0.90947,             0.80338,             0.86812,             0.55692,            0.031769,            0.017027,           0.0068349,            0.008284,            0.008284,            0.008284
