               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.033471,            0.028405,            0.021297,             0.79049,             0.71912,              0.7493,             0.51032,            0.032201,            0.019315,            0.017661,               0.082,               0.002,               0.002
                   1,            0.037561,             0.03004,            0.019108,             0.83421,             0.73067,             0.78356,             0.45932,             0.03685,             0.01832,            0.015632,            0.063086,           0.0040865,           0.0040865
                   2,            0.040738,            0.026981,            0.016957,             0.79781,             0.75186,              0.7763,             0.42979,            0.040363,             0.01761,              0.0148,            0.044159,           0.0061591,           0.0061591
                   3,            0.045035,            0.029843,            0.017052,             0.75453,             0.74437,             0.76593,             0.40381,            0.044824,            0.017359,            0.014598,            0.025218,           0.0082178,           0.0082178
                   4,            0.047416,            0.028897,              0.0172,             0.80056,             0.72923,             0.76338,             0.36844,            0.043177,            0.017662,            0.014294,            0.009868,            0.009868,            0.009868
                   5,            0.047992,            0.028536,            0.017511,              0.7779,             0.71913,             0.73958,             0.40069,            0.044693,             0.01831,            0.015032,            0.009868,            0.009868,            0.009868
                   6,            0.046189,            0.027515,            0.016643,             0.79404,              0.7197,             0.77592,             0.41457,             0.04167,            0.017608,            0.014471,            0.009835,            0.009835,            0.009835
                   7,            0.046463,             0.02987,             0.01642,             0.74979,             0.73971,              0.7637,             0.39788,            0.045996,            0.017679,            0.014589,            0.009802,            0.009802,            0.009802
                   8,            0.046391,             0.02756,            0.016914,             0.76149,             0.76145,             0.78934,             0.43366,              0.0409,            0.017764,             0.01444,            0.009769,            0.009769,            0.009769
                   9,            0.044597,            0.025658,              0.0148,             0.80088,             0.70867,             0.77222,             0.41446,            0.043421,            0.018247,             0.01378,            0.009736,            0.009736,            0.009736
                  10,            0.043906,            0.029409,            0.015245,             0.76386,             0.73666,              0.7742,             0.43541,            0.040377,            0.017971,            0.013827,            0.009703,            0.009703,            0.009703
                  11,            0.044793,            0.028398,            0.015327,             0.79669,             0.69107,             0.76304,             0.38883,            0.042972,             0.01779,            0.013873,             0.00967,             0.00967,             0.00967
                  12,            0.044958,            0.028545,              0.0155,             0.83402,             0.75266,             0.80733,             0.42634,            0.040126,            0.017623,            0.013446,            0.009637,            0.009637,            0.009637
                  13,            0.043885,            0.025652,            0.015286,             0.80714,             0.72338,             0.80221,             0.42339,            0.043356,            0.018271,            0.013267,            0.009604,            0.009604,            0.009604
                  14,            0.043576,            0.027758,            0.014259,             0.78491,             0.73548,             0.79479,             0.42757,            0.040077,            0.018222,            0.013004,            0.009571,            0.009571,            0.009571
                  15,            0.043688,            0.026155,             0.01445,              0.8117,             0.74432,             0.79412,             0.41932,            0.040621,            0.018436,             0.01307,            0.009538,            0.009538,            0.009538
                  16,            0.042628,             0.02754,            0.013346,             0.72903,             0.77196,             0.79656,             0.42358,            0.040405,            0.017895,            0.012524,            0.009505,            0.009505,            0.009505
                  17,            0.043891,            0.025733,             0.01376,             0.74875,             0.75487,              0.7806,             0.42241,            0.041213,             0.01843,            0.013082,            0.009472,            0.009472,            0.009472
                  18,            0.042303,            0.026425,            0.013561,             0.81075,             0.80161,             0.83447,             0.44008,            0.040368,            0.017422,            0.012049,            0.009439,            0.009439,            0.009439
                  19,            0.043098,            0.026995,            0.013347,             0.75071,             0.76747,             0.78384,             0.41721,            0.041572,            0.017178,            0.011725,            0.009406,            0.009406,            0.009406
                  20,            0.043332,            0.026534,            0.013026,             0.81133,             0.74163,             0.80518,             0.41809,            0.041076,            0.017682,            0.012083,            0.009373,            0.009373,            0.009373
                  21,            0.041554,            0.025673,            0.012655,             0.79284,             0.81316,             0.82515,             0.45254,            0.041269,            0.017533,            0.011308,             0.00934,             0.00934,             0.00934
                  22,            0.041253,            0.027172,            0.012367,             0.80899,             0.77267,             0.82669,             0.47692,            0.037176,            0.017794,            0.011772,            0.009307,            0.009307,            0.009307
                  23,            0.041964,            0.026892,             0.01306,             0.79799,              0.7559,             0.80541,             0.46646,            0.038383,            0.017259,            0.011946,            0.009274,            0.009274,            0.009274
                  24,            0.041047,            0.026496,            0.012017,             0.82785,             0.75504,             0.80581,             0.47157,            0.037941,            0.017139,            0.011347,            0.009241,            0.009241,            0.009241
                  25,            0.041064,            0.028277,             0.01212,             0.82692,             0.76921,             0.81912,             0.43817,            0.039166,            0.017158,            0.011215,            0.009208,            0.009208,            0.009208
                  26,            0.041363,            0.026484,            0.011701,             0.82701,             0.78398,             0.82588,             0.46682,            0.038181,            0.017251,            0.010903,            0.009175,            0.009175,            0.009175
                  27,            0.041124,            0.025742,            0.011782,             0.81981,             0.76255,             0.81716,             0.46686,            0.038421,            0.018283,            0.011492,            0.009142,            0.009142,            0.009142
                  28,            0.040697,            0.027998,            0.011108,             0.84546,             0.75964,             0.83794,              0.4823,            0.037167,            0.017572,            0.011359,            0.009109,            0.009109,            0.009109
